,word
3,internal
4,model
5,vestibular
6,reafference
7,consequences
8,voluntary
9,self
10,-
11,motion
0,ability
1,self
2,-
3,(
4,reafference
5,)
6,vs.
7,externally
8,-
9,(
10,exafference
11,)
12,sensory
13,signals
14,fundamental
15,accurate
16,motor
17,control
18,as
19,well
20,perceptual
21,stability
22,.
23,particularly
24,evident
25,context
26,vestibular
27,system
28,same
29,central
30,neurons
31,direct
32,afferent
33,input
34,also
35,project
36,motor
37,neurons
38,vestibulo
39,-
40,spinal
41,reflexes
42,(
43,vsr
44,)
45,.
46,notably
47,vsrs
48,essential
49,postural
50,response
51,unexpected
52,perturbation
53,they
54,self
55,-
56,motion
57,.
58,previous
59,studies
60,our
61,group
62,brain
63,internal
64,model
65,consequences
66,voluntary
67,self
68,-
69,motion
70,vestibular
71,reafferent
72,inputs
73,central
74,vsr
75,neurons
76,vestibular
77,deep
78,cerebellar
79,nuclei
80,.
81,accordingly
82,here
83,we
84,purkinje
85,cells
86,anterior
87,vermis
88,rhesus
89,monkeys
90,comparable
91,active
92,passive
93,head
94,movements
95,.
96,we
97,first
98,neuronal
99,responses
100,vestibular
101,-
102,only
103,neck
104,proprioceptive
105,-
106,only
107,passive
108,stimulation
109,.
110,we
111,simple
112,spike
113,activity
114,stimuli
115,direction
116,-
117,dependent
118,manner
119,.
120,accordingly
121,purkinje
122,cell
123,we
124,first
125,model
126,dynamics
127,simple
128,spike
129,response
130,passive
131,head
132,body
133,movements
134,kinematics
135,direction
136,.
137,we
138,then
139,passively
140,vestibular
141,proprioceptive
142,stimuli
143,simultaneously
144,(
145,i.e.
146,passive
147,head
148,-
149,-
150,body
151,rotations
152,)
153,purkinje
154,cells
155,linearly
156,inputs
157,.
158,then
159,neuron
160,responses
161,active
162,passive
163,movements
164,we
165,comparable
166,models
167,neuronal
168,responses
169,non
170,-
171,active
172,head
173,movements
174,.
175,we
176,neuronal
177,sensitivities
178,markedly
179,active
180,condition
181,(
182,%
183,p
184,)
185,.
186,reduction
187,single
188,purkinje
189,cells
190,modulation
191,active
192,motion
193,surprising
194,they
195,vestibular
196,nuclei
197,deep
198,cerebellar
199,nuclei
200,.
201,however
202,our
203,modeling
204,cancellation
205,signal
206,convergence
207,population
208,purkinje
209,cells
210,.
211,finally
212,we
213,responses
214,active
215,movement
216,result
217,neck
218,motor
219,inputs
220,purkinje
221,cells
222,.
223,we
224,majority
225,purkinje
226,cells
227,neck
228,motor
229,signals
230,simple
231,spike
232,firing
233,simple
234,linear
235,model
236,motor
237,signal
238,sensory
239,feedback
240,not
241,simple
242,spike
243,response
244,active
245,movements
246,.
247,together
248,results
249,new
250,insights
251,computations
252,purkinje
253,cells
254,anterior
255,vermis
256,generation
257,internal
258,model
259,vestibular
260,reafference
261,suppression
262,.
263,findings
264,(
265,)
266,single
267,cerebellar
268,purkinje
269,cells
270,nonlinear
271,sensorimotor
272,integration
273,differentially
274,active
275,passive
276,head
277,movements
278,(
279,)
280,population
281,purkinje
282,cells
283,vestibular
284,reafference
285,signal
286,their
287,targets
288,.
0,proprioceptive
1,cortex
2,veridical
3,feedback
4,arm
5,movement
6,forces
7,force
8,field
9,adaptation
0,brain
1,readily
2,its
3,motor
4,output
5,movement
6,environments
7,movements
8,water
9,.
10,such
11,movements
12,flexible
13,motor
14,output
15,reliable
16,feedback
17,movements
18,themselves
19,external
20,forces
21,body
22,.
23,most
24,previous
25,adaptation
26,studies
27,behavioral
28,data
29,few
30,motor
31,regions
32,contexts
33,.
34,our
35,knowledge
36,electrophysiology
37,studies
38,role
39,proprioception
40,-
41,sense
42,body
43,position
44,movement
45,forces
46,motor
47,adaptation
48,.
49,sensory
50,feedback
51,state
52,body
53,critical
54,movement
55,errors
56,somatosensory
57,cortex
58,necessary
59,motor
60,learning
61,monkeys
62,cats
63,mice
64,.
65,however
66,it
67,still
68,unclear
69,proprioceptive
70,somatosensory
71,cortex
72,itself
73,veridical
74,feedback
75,movements
76,.
77,gap
78,we
79,neural
80,activity
81,somatosensory
82,motor
83,cortex
84,monkeys
85,planar
86,viscous
87,field
88,.
89,we
90,spiking
91,activity
92,populations
93,neurons
94,brodmann
95,area
96,-
97,proprioceptive
98,area
99,somatosensory
100,cortex
101,-
102,along
103,similar
104,recordings
105,primary
106,motor
107,cortex
108,(
109,m1
110,)
111,dorsal
112,premotor
113,cortex
114,(
115,pmd
116,)
117,.
118,we
119,encoding
120,movement
121,errors
122,area
123,movement
124,direction
125,decoders
126,null
127,field
128,condition
129,testing
130,force
131,field
132,washout
133,epochs
134,.
135,we
136,then
137,results
138,area
139,m1
140,pmd
141,.
142,motor
143,areas
144,area
145,only
146,abrupt
147,changes
148,decoding
149,performance
150,onset
151,field
152,epochs
153,.
154,we
155,changes
156,population
157,simulated
158,neurons
159,muscle
160,spindles
161,they
162,largely
163,input
164,-
165,effects
166,not
167,intrinsic
168,changes
169,area
170,.
171,further
172,area
173,consistently
174,series
175,passive
176,movements
177,arm
178,trials
179,adaptation
180,.
181,neural
182,changes
183,adaptation
184,more
185,closely
186,we
187,principal
188,component
189,analysis
190,(
191,dpca
192,)
193,dimensions
194,population
195,activity
196,state
197,adaptation
198,sensory
199,motor
200,regions
201,independently
202,.
203,we
204,adaptation
205,-
206,dimensions
207,%
208,variance
209,m1
210,%
211,variance
212,pmd
213,exposure
214,force
215,field
216,washout
217,.
218,contrast
219,adaptation
220,-
221,dimensions
222,little
223,variance
224,area
225,(
226,%
227,)
228,.
229,together
230,results
231,somatosensory
232,cortex
233,unique
234,role
235,adaptation
236,.
237,motor
238,areas
239,cortex
240,their
241,intrinsic
242,activity
243,presumably
244,formulation
245,execution
246,new
247,motor
248,plan
249,area
250,consistent
251,representation
252,movement
253,forces
254,arm
255,likely
256,veridical
257,feedback
258,movement
259,error
260,necessary
261,element
262,movements
263,new
264,environments
265,.
0,evidence
1,common
2,mechanism
3,invigoration
4,movement
5,perceptual
6,decision
7,-
8,making
0,speed
1,our
2,movements
3,often
4,vigor
5,’
6,circumstances
7,.
8,particular
9,it
10,well
11,promise
12,reward
13,us
14,faster
15,.
16,potential
17,rewards
18,also
19,lower
20,reaction
21,times
22,(
23,rts
24,)
25,process
26,movement
27,also
28,reward
29,.
30,normative
31,computational
32,theories
33,vigor
34,movement
35,speed
36,decisions
37,analogous
38,trade
39,-
40,offs
41,available
42,rewards
43,costs
44,more
45,quickly
46,(
47,manohar
48,et
49,al.
50,)
51,.
52,it
53,also
54,mechanistic
55,link
56,movement
57,vigor
58,decision
59,speed
60,common
61,neural
62,mechanisms
63,responsible
64,(
65,thura
66,)
67,.
68,evidence
69,favor
70,mechanism
71,inconclusive
72,however
73,(
74,reynaud
75,et
76,al.
77,)
78,.
79,reward
80,reliable
81,way
82,changes
83,movement
84,vigor
85,it
86,not
87,only
88,way
89,movement
90,vigor
91,.
92,people
93,easily
94,voluntarily
95,speed
96,their
97,movements
98,so
99,.
100,it
101,unclear
102,though
103,speed
104,their
105,perceptual
106,decision
107,making
108,.
109,decision
110,-
111,making
112,movement
113,vigor
114,indeed
115,common
116,mechanism
117,invigoration
118,then
119,people
120,their
121,movement
122,speed
123,also
124,speed
125,their
126,decisions
127,.
128,we
129,experiment
130,we
131,participants
132,(
133,n
134,)
135,center
136,-
137,out
138,movements
139,targets
140,unpredictable
141,locations
142,.
143,different
144,blocks
145,participants
146,different
147,speeds
148,(
149,slow
150,m
151,s
152,medium
153,m
154,s
155,fast
156,m
157,s
158,)
159,.
160,we
161,their
162,perceptual
163,decision
164,-
165,ability
166,block
167,-
168,reaction
169,-
170,time
171,approach
172,rapidly
173,they
174,able
175,target
176,location
177,appropriate
178,movement
179,(
180,haith
181,et
182,al.
183,)
184,.
185,specifically
186,participants
187,their
188,movement
189,synchronously
190,metronome
191,we
192,amount
193,preparation
194,time
195,they
196,target
197,different
198,delays
199,prior
200,time
201,movement
202,initiation
203,.
204,speed
205,-
206,accuracy
207,trade
208,-
209,off
210,we
211,average
212,speed
213,preparation
214,cumulative
215,gaussian
216,distribution
217,trade
218,-
219,off
220,.
221,preparation
222,times
223,slow
224,condition
225,(
226,ms
227,)
228,significantly
229,longer
230,medium
231,(
232,ms
233,)
234,fast
235,(
236,ms
237,)
238,conditions
239,(
240,p
241,)
242,participants
243,more
244,rapidly
245,also
246,them
247,target
248,location
249,their
250,movements
251,more
252,rapidly
253,even
254,not
255,.
256,our
257,results
258,evidence
259,support
260,hypothesis
261,urgency
262,decision
263,making
264,invigoration
265,movement
266,common
267,underlying
268,mechanism
269,.
0,rapid
1,motor
2,responses
3,explicit
4,sensory
5,goal
6,-
7,priors
0,we
1,world
2,brain
3,constantly
4,new
5,sensory
6,information
7,our
8,prior
9,expectations
10,we
11,most
12,appropriate
13,action
14,our
15,goals
16,.
17,many
18,experiments
19,contextual
20,information
21,magnitude
22,rapid
23,feedback
24,responses
25,(
26,105ms
27,as
28,long
29,-
30,latency
31,)
32,arm
33,muscles
34,unexpected
35,mechanical
36,perturbations
37,cortical
38,processing
39,key
40,role
41,responses
42,.
43,furthermore
44,rapid
45,responses
46,not
47,simply
48,final
49,movement
50,decision
51,rather
52,continually
53,ongoing
54,noisy
55,decision
56,-
57,making
58,process
59,.
60,however
61,it
62,unclear
63,trial
64,-
65,-
66,trial
67,changes
68,prior
69,expectations
70,potential
71,goals
72,sensory
73,information
74,immediately
75,our
76,rapid
77,muscle
78,responses
79,.
80,questions
81,we
82,experiments
83,human
84,participants
85,planar
86,robotic
87,exoskeleton
88,(
89,kinarm
90,)
91,explicit
92,visual
93,cues
94,trial
95,probability
96,goal
97,targets
98,they
99,elbow
100,perturbation
101,(
102,experiment
103,n
104,)
105,elbow
106,perturbations
107,(
108,i.e.
109,flexion
110,extension
111,)
112,they
113,target
114,(
115,experiment
116,n
117,)
118,.
119,target
120,location
121,perturbation
122,direction
123,variable
124,probability
125,differently
126,sized
127,arrows
128,(
129,%
130,%
131,%
132,%
133,%
134,)
135,perturbations
136,such
137,hand
138,away
139,goal
140,target
141,.
142,experiments
143,kinematic
144,trajectory
145,hand
146,perturbations
147,away
148,target
149,cued
150,target
151,perturbation
152,direction
153,probability
154,fastest
155,movements
156,conditions
157,slowest
158,responses
159,unexpected
160,conditions
161,.
162,crucially
163,we
164,rapid
165,responses
166,arm
167,muscles
168,perturbations
169,hand
170,away
171,target
172,linearly
173,cued
174,probability
175,condition
176,70ms
177,perturbation
178,.
179,results
180,not
181,anticipatory
182,muscle
183,contraction
184,perturbation
185,not
186,significantly
187,different
188,probability
189,conditions
190,participants
191,’
192,individual
193,trials
194,.
195,findings
196,long
197,-
198,latency
199,muscle
200,responses
201,flexibly
202,prior
203,information
204,movement
205,goals
206,sensory
207,expectation
208,motor
209,system
210,rapidly
211,appropriate
212,repertoire
213,motor
214,responses
215,context
216,.
217,future
218,studies
219,cortical
220,circuits
221,integration
222,incoming
223,visual
224,somatosensory
225,information
226,priors
227,continually
228,control
229,movement
230,.
0,motor
1,preparation
2,contribution
3,visuomotor
4,responses
5,human
6,upper
7,limb
8,muscles
0,cerebral
1,cortex
2,future
3,events
4,contextual
5,cues
6,thus
7,initiation
8,stimulus
9,-
10,responses
11,.
12,notably
13,complex
14,computations
15,cortical
16,sensorimotor
17,networks
18,minimum
19,response
20,onset
21,time
22,humans
23,express
24,visuomotor
25,muscle
26,responses
27,location
28,visual
29,stimuli
30,-
31,100ms
32,their
33,presentation
34,(
35,stimulus
36,-
37,responses
38,slrs
39,)
40,.
41,rapidity
42,inflexibility
43,slrs
44,subcortical
45,visuomotor
46,transformations
47,potentially
48,tecto
49,-
50,reticulo
51,-
52,spinal
53,pathway
54,.
55,recent
56,data
57,slrs
58,predictability
59,stimulus
60,timing
61,location
62,putative
63,subcortical
64,slr
65,network
66,cortical
67,top
68,-
69,down
70,expectations
71,.
72,open
73,question
74,stage
75,cue
76,-
77,slr
78,modulations
79,their
80,effect
81,sensory
82,-
83,-
84,motor
85,transformation
86,putative
87,subcortical
88,slr
89,circuit
90,.
91,example
92,cue
93,-
94,slr
95,effects
96,due
97,pre-stimulus
98,preparation
99,movements
100,facilitation
101,sensorimotor
102,transformation
103,stimuli
104,.
105,we
106,emg
107,activity
108,shoulder
109,muscles
110,subjects
111,right
112,left
113,horizontal
114,arm
115,movements
116,targets
117,locations
118,(
119,i
120,)
121,right
122,-
123,top
124,(
125,)
126,right
127,-
128,bottom
129,(
130,iii
131,)
132,-
133,top
134,(
135,iv
136,)
137,-
138,bottom
139,.
140,thus
141,single
142,uniplanar
143,right
144,reach
145,top
146,bottom
147,targets
148,right
149,hemi
150,-
151,field
152,.
153,trial
154,symbolic
155,arrow
156,cue
157,central
158,fixation
159,spot
160,1s
161,target
162,presentation
163,possible
164,target
165,locations
166,.
167,arrow
168,right
169,left
170,target
171,location
172,%
173,validity
174,.
175,top
176,bottom
177,location
178,%
179,validity
180,valid
181,right
182,left
183,cue
184,conditions
185,%
186,validity
187,invalid
188,right
189,left
190,cue
191,conditions
192,.
193,validly
194,right
195,left
196,target
197,location
198,significantly
199,more
200,slrs
201,(
202,subjects
203,)
204,invalid
205,cues
206,reach
207,direction
208,(
209,subjects
210,)
211,.
212,reach
213,direction
214,validly
215,slr
216,initiation
217,time
218,(
219,87ms
220,)
221,magnitude
222,(
223,)
224,similar
225,targets
226,vertical
227,axis
228,irrespective
229,top
230,bottom
231,cue
232,validity
233,.
234,thus
235,cue
236,-
237,expectations
238,vertical
239,target
240,location
241,not
242,slr
243,.
244,fact
245,target
246,locations
247,vertical
248,axis
249,same
250,movement
251,preparation
252,single
253,motor
254,response
255,compatible
256,reach
257,direction
258,.
259,integration
260,motor
261,signals
262,visual
263,input
264,congruently
265,prepared
266,response
267,putative
268,subcortical
269,slr
270,pathway
271,irrespective
272,top
273,bottom
274,cue
275,validity
276,.
277,our
278,results
279,consistent
280,motor
281,preparation
282,contribution
283,slrs
284,however
285,broad
286,top
287,-
288,down
289,priming
290,collicular
291,visual
292,map
293,hemi
294,-
295,field
296,not
297,.
298,further
299,studies
300,necessary
301,motor
302,preparation
303,spatial
304,visuomotor
305,facilitation
306,contributions
307,visuomotor
308,responses
309,.
0,control
1,movement
2,deceleration
3,purkinje
4,cells
5,cerebellum
0,damage
1,cerebellum
2,many
3,aspects
4,behavior
5,ability
6,precisely
7,movement
8,.
9,purkinje
10,cells
11,movement
12,termination
13,.
14,yet
15,purkinje
16,cell
17,activity
18,long
19,movement
20,ends
21,.
22,recently
23,we
24,fundamental
25,unit
26,computation
27,population
28,purkinje
29,cells
30,same
31,preference
32,error
33,i.e.
34,input
35,olive
36,purkinje
37,cells
38,groups
39,.
40,we
41,oculomotor
42,vermis
43,marmoset
44,cerebellum
45,visually
46,saccades
47,.
48,trial
49,target
50,random
51,direction
52,.
53,detection
54,primary
55,saccade
56,we
57,error
58,target
59,again
60,.
61,subjects
62,sensory
63,prediction
64,error
65,primary
66,saccade
67,subsequently
68,corrective
69,saccade
70,.
71,we
72,purkinje
73,cells
74,monkeys
75,pairs
76,simultaneously
77,purkinje
78,cells
79,.
80,purkinje
81,cell
82,complex
83,spike
84,response
85,direction
86,target
87,displacement
88,.
89,however
90,target
91,displacement
92,saccade
93,it
94,unclear
95,complex
96,spike
97,tuning
98,response
99,sensory
100,event
101,(
102,target
103,displacement
104,)
105,prelude
106,movement
107,(
108,saccade
109,)
110,.
111,possibilities
112,we
113,saccades
114,not
115,target
116,displacement
117,.
118,sudden
119,appearance
120,visual
121,stimulus
122,saccades
123,not
124,complex
125,spike
126,.
127,thus
128,complex
129,spikes
130,sensory
131,prediction
132,error
133,not
134,movement
135,error
136,.
137,complex
138,spike
139,tuning
140,we
141,purkinje
142,cells
143,their
144,population
145,simple
146,spikes
147,.
148,population
149,simple
150,spike
151,response
152,burst
153,just
154,saccade
155,onset
156,then
157,partial
158,pause
159,deceleration
160,.
161,importantly
162,pause
163,duration
164,precisely
165,saccade
166,duration
167,.
168,remarkably
169,saccade
170,velocity
171,lower
172,duration
173,longer
174,burst
175,saccade
176,smaller
177,pause
178,saccade
179,longer
180,sensitivity
181,saccade
182,vigor
183,.
184,saccade
185,amplitude
186,larger
187,transition
188,burst
189,pause
190,later
191,sensitivity
192,onset
193,deceleration
194,phase
195,.
196,thus
197,purkinje
198,cells
199,populations
200,simple
201,spike
202,activity
203,predictor
204,saccade
205,velocity
206,direction
207,duration
208,.
209,next
210,we
211,fact
212,control
213,deep
214,cerebellar
215,nucleus
216,not
217,just
218,firing
219,rate
220,purkinje
221,cells
222,also
223,timing
224,their
225,spikes
226,.
227,we
228,simultaneous
229,activity
230,pairs
231,purkinje
232,cells
233,saccade
234,onset
235,acceleration
236,burst
237,simple
238,spikes
239,probability
240,synchrony
241,baseline
242,.
243,however
244,deceleration
245,simple
246,spikes
247,%
248,more
249,baseline
250,.
251,summary
252,purkinje
253,cells
254,populations
255,complex
256,spike
257,tuning
258,simple
259,spikes
260,activity
261,sensitive
262,timing
263,deceleration
264,.
265,population
266,deceleration
267,purkinje
268,cells
269,significant
270,role
271,movement
272,.
0,movement
1,variability
2,actively
3,speech
0,movement
1,variability
2,often
3,unwanted
4,noise
5,motor
6,system
7,recent
8,work
9,variability
10,actively
11,.
12,specifically
13,baseline
14,variability
15,upper
16,limb
17,control
18,selectively
19,task
20,demands
21,.
22,date
23,research
24,regulation
25,motor
26,variability
27,relatively
28,simple
29,laboratory
30,-
31,specific
32,tasks
33,.
34,it
35,not
36,clear
37,results
38,complex
39,well
40,-
41,real
42,-
43,world
44,tasks
45,actions
46,non-visual
47,feedback
48,.
49,here
50,we
51,variability
52,speech
53,production
54,highly
55,over-practiced
56,motor
57,behavior
58,auditory
59,somatosensory
60,feedback
61,.
62,separate
63,groups
64,healthy
65,speakers
66,real
67,-
68,time
69,auditory
70,perturbation
71,variability
72,their
73,speech
74,.
75,inward
76,-
77,group
78,(
79,n
80,)
81,perturbation
82,production
83,center
84,participant
85,distribution
86,vowel
87,(
88,vowel
89,targets
90,”
91,)
92,.
93,outward
94,-
95,group
96,(
97,n
98,)
99,opposite
100,perturbation
101,shift
102,production
103,away
104,targets
105,.
106,control
107,we
108,dataset
109,auditory
110,perturbation
111,(
112,n
113,)
114,.
115,control
116,group
117,change
118,variability
119,course
120,experiment
121,.
122,participants
123,inward
124,-
125,perturbation
126,consistently
127,variability
128,perturbation
129,(
130,mels
131,p
132,)
133,as
134,well
135,it
136,(
137,mels
138,p
139,)
140,.
141,further
142,group
143,baseline
144,variability
145,predictive
146,change
147,variability
148,(
149,p
150,)
151,participants
152,lower
153,variability
154,baseline
155,phase
156,larger
157,variability
158,increases
159,.
160,lower
161,variability
162,”
163,motor
164,system
165,less
166,precise
167,.
168,unexpectedly
169,outward
170,-
171,perturbation
172,also
173,variability
174,(
175,mels
176,p
177,)
178,inconsistently
179,different
180,vowels
181,dimensions
182,control
183,variability
184,near
185,baseline
186,levels
187,perturbation
188,(
189,mels
190,p
191,)
192,.
193,variability
194,changes
195,not
196,baseline
197,variability
198,.
199,results
200,consistent
201,state
202,-
203,space
204,model
205,motor
206,adaptation
207,trial
208,-
209,-
210,trial
211,errors
212,changes
213,intrinsic
214,variability
215,errors
216,perturbation
217,.
218,indeed
219,group
220,participants
221,vowel
222,measure
223,-
224,trial
225,correction
226,(
227,movement
228,median
229,vowel
230,onset
231,vowel
232,midpoint
233,)
234,perturbation
235,sensitivity
236,errors
237,feedback
238,.
239,lack
240,observable
241,decreases
242,variability
243,response
244,outward
245,-
246,perturbation
247,previous
248,results
249,limb
250,control
251,speech
252,naturally
253,lower
254,limit
255,possible
256,variability
257,.
258,together
259,results
260,variability
261,even
262,complex
263,tasks
264,such
265,speech
266,actively
267,.
0,mouse
1,nucleus
2,propositus
3,relays
4,eye
5,movement
6,information
7,direction
8,network
9,navigation
0,vestibular
1,system
2,crucial
3,role
4,our
5,everyday
6,life
7,it
8,gaze
9,postural
10,stabilization
11,sense
12,self
13,-
14,motion
15,head
16,motion
17,space
18,.
19,previous
20,work
21,rodents
22,(
23,i.e.
24,mice
25,rats
26,)
27,view
28,nucleus
29,prepositus
30,hypoglossi
31,(
32,nph
33,)
34,supragenual
35,nucleus
36,(
37,sgn
38,)
39,brainstem
40,relay
41,vestibular
42,information
43,vestibular
44,system
45,head
46,direction
47,(
48,hd
49,)
50,network
51,.
52,however
53,nph
54,also
55,long
56,-
57,oculomotor
58,integrator
59,essential
60,role
61,eye
62,movement
63,control
64,eye
65,eccentric
66,position
67,orbit
68,saccade
69,.
70,further
71,study
72,non-human
73,primates
74,(
75,dale
76,cullen
77,)
78,neurons
79,nph
80,predominantly
81,eye
82,-
83,rather
84,head
85,-
86,movement
87,signals
88,passively
89,-
90,voluntary
91,head
92,movements
93,.
94,date
95,however
96,it
97,unknown
98,neurons
99,nph
100,rodents
101,eye
102,-
103,/
104,head
105,-
106,movement
107,signals
108,.
109,we
110,nph
111,neurons
112,mouse
113,primate
114,preferentially
115,eye
116,-
117,signals
118,passive
119,-
120,voluntary
121,movement
122,.
123,accordingly
124,we
125,activity
126,nph
127,neurons
128,tungsten
129,electrodes
